GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
60908	-9.62707	-9.67226	-9.58189	2.81918	2.75925	2.87911	1.38309	1.33345	1.43273	2.185	0.17613915	0.169189243	1.5	6	1.8836	2.71E-07	1.49E-08	-2.74E-01	0.361500909	0.00E+00	0.00E+00	19.3	 1.302160e+00 	0.0000028	1.11	0.000000271	0.25	2.13395	6.45E+21	1.185	-0.3/0.3
61021	-10.0409	-10.0673	-10.0145	3.23849	3.2045	3.27248	1.01707	1.00665	1.02748	1.785	0.170073514	0.136473441	2.29	7	0.3463	5.44E-07	1.54E-08	-1.13E+00	0.046984848	0.00E+00	0.00E+00	46.2	 5.632594e+00 	0.00000296	1.01	0.000000544	0.27	1.99282	7.44E+20	0.785	0.06
60927	-10.7768	-10.8579	-10.6956	3.15198	3.04355	3.26042	1.39098	1.2722	1.50977	1.83	0.910823803	0.553827591	1.68	5.2	5.6	2.46E-07	1.07E-08	-2.86E-01	0.259095152	0.00E+00	0.00E+00	22.5	 1.190914e+00 	0.00000113	0.68	0.000000246	0.17	1.94856	1.28E+22	0.83	-0.4/0.4
61121	-10.0299	-10.0426	-10.0173	3.78753	3.7705	3.80456	1.35185	1.336	1.3677	1.9485	0.07738863	0.072672209	2.27	6.5	1.314	1.96E-06	2.43E-08	-1.05E+00	0.022127273	0.00E+00	0.00E+00	81.3	 4.640242e+01 	0.0000137	1.99	0.00000196	0.46	1.90181	5.67E+21	0.9485	0.03
61201	-10.4135	-10.5071	-10.3198	3.49343	3.39955	3.58732	1.98937	1.81986	2.15887	1.145	0.298872883	0.176776695	1.5	5.2	0.111	3.55E-07	1.73E-08	-8.32E-01	0.085730909	0.00E+00	0.00E+00	0.76	 9.507892e-02 	0.000000334	0.27	0.000000355	0.31	1.65934	1.47E+21	0.145	0.15
70110	-11.0488	-11.1036	-10.9941	4.26825	4.21425	4.32224	1.42725	1.3807	1.47381	2.186	0.451559797	0.208224038	2.4	6.5	2.352	4.73E-08	6.48E-09	-1.46E+00	0.206030303	0.00E+00	0.00E+00	88.4	 1.441929e+01 	0.00000162	1.08	4.73E-08	0.12	2.08596	2.51E+21	1.186	0.12
70208	-10.8636	-11.0255	-10.7017	3.44468	3.30354	3.58582	1.2125	1.149	1.27614	2.14	0.4	0.37	2	5.2	1.165	3.42E-08	9.45E-09	-1.09E+00	0.557371212	0.00E+00	0.00E+00	47.7	 2.262742e+01 	0.000000445	1.01	3.42E-08	0.22	2.20341	7.32E+21	1.14	0.36
70306	-11.2737	-11.3072	-11.2402	4.86926	4.84102	4.8975	1.89982	1.83794	1.9617	1.831	0.086	0.084	2.7	6.1	1.4959	2.01E-07	8.99E-09	-1.19E+00	0.214595455	0.00E+00	0.00E+00	209.5	 6.460994e+01 	0.00000538	2.86	0.000000201	0.21	1.94468	2.77E+22	0.831	0.10
70521	-10.0125	-10.0615	-9.96348	3.55243	3.50399	3.60087	1.44502	1.38882	1.50122	1.98	0.808115091	0.513078941	1.8	5.5	0.553	8.71E-08	1.20E-08	-5.28E-01	0.164807273	0.00E+00	0.00E+00	37.9	 2.376690e+00 	0.00000801	1.77	8.71E-08	0.27	2.00022	1.88E+22	0.98	-0.2/0.2
70529	-10.2468	-10.302	-10.1916	3.09323	3.02519	3.16128	1.21432	1.17931	1.24933	1.76	0.21	0.18	2.2	5.8	2.4996	1.11E-07	1.84E-08	-1.49E+00	0.240866667	0.00E+00	0.00E+00	109.2	 2.073183e+01 	0.00000257	2.45	0.000000111	0.36	1.97999	3.65E+22	0.76	0.16
070714B	-10.7429	-10.8422	-10.6435	3.22974	3.13514	3.32434	1.64623	1.5378	1.75465	1.93	0.15	0.14	2.47	5	0.92	2.71E-07	1.04E-08	-8.82E-01	0.063144545	0.00E+00	0.00E+00	64	 9.508734e+00 	0.00000072	0.9	0.000000271	0.2	2.07429	4.4E+21	0.93	0.19
