GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
171222A	-12.1094	-12.3191	-11.8996	4.78231	4.40386	5.16077	0.718496	0.59154	0.845452	2.34	0.44	0.41	3.3	6	2.409	3.91E-08	9.33E-09	-2.13E+00	0.404257576	0.00E+00	0.00E+00	174.8	 2.386951e+01 	0.0000019	2	3.91E-08	0.2	1.99001	1.07E+20	1.34	0.17
180205A	-10.3067	-10.3713	-10.2422	3.21372	3.1249	3.30253	1.09633	1.05423	1.13842	2.03	0.21	0.2	2.5	6	1.409	2.23E-07	1.42E-08	-1.05E+00	0.371448788	0.00E+00	0.00E+00	15.5	 3.146993e+00 	0.000001	1	6.15E-07	0.3	1.88733	3.11E+21	1.03	0.13
180329B	-11.1493	-11.1975	-11.101	4.02296	3.97982	4.0661	1.50063	1.43097	1.5703	1.77	0.12	0.12	2.8	5.2	1.998	9.09E-08	2.02E-08	-1.91E+00	0.350969697	0.00E+00	0.00E+00	210	 4.942257e+01 	0.0000033	3	8.84E-08	0.4	1.86768	2.63E+21	0.77	0.56
180404A	-11.6243	-11.6904	-11.5582	4.20449	4.08029	4.32869	1.17089	1.0686	1.27318	1.72	0.46	0.33	2.4	6	1	9.32E-08	8.25E-09	-1.67E+00	0.136627273	0.00E+00	0.00E+00	35.2	 5.351026e+00 	0.0000013	1	2.34E-07	0.2	1.62007	3.07E+20	0.72	0.12
180620B	-10.9823	-11.026	-10.9386	4.6659	4.59877	4.73302	1.09835	1.0389	1.15779	1.9	0.11	0.1	3	6	1.1175	3.29E-07	1.30E-08	-1.10E+00	0.063030303	0.00E+00	0.00E+00	198.8	 2.613269e+01 	0.00001	3	4.17E-07	0.2	1.99236	1.65E+21	0.9	0.20
180728A	-9.42335	-9.43324	-9.41347	3.8695	3.85476	3.88425	1.1986	1.1895	1.2077	1.8595	0.285175385	0.200202398	2	7	0.117	8.51E-06	8.22E-08	-1.88E+00	0.018812121	0.00E+00	0.00E+00	8.68	 2.973214e-01 	0.0000296	6	2.38E-05	2.9	1.70111	3.87E+21	0.8595	0.03
181010A	-9.92652	-9.96114	-9.89191	3.15711	3.0993	3.21491	1.07011	1.03673	1.10348	2.115	0.163248277	0.149164339	2	6	1.39	1.25E-07	1.12E-08	-1.18E+00	0.139594242	0.00E+00	0.00E+00	15.564	 2.192793e+00 	0.00000069	0.7	2.42E-07	0.2	1.76613	1.90E+22	1.115	0.15
181020A	-10.4242	-10.606	-10.3224	4.29043	4.24287	4.33798	2.64643	2.55445	2.73842	2.228	0.228270125	0.169207713	3.2	5.2	2.938	7.60E-07	2.13E-08	-8.63E-01	0.045110303	0.00E+00	0.00E+00	238.016	 1.159881e+01 	0.0000081	3	1.29E-06	0.3	1.93674	4.54E+20	1.228	0.06
181110A	-10.3961	-10.4868	-10.3054	3.7664	3.71167	3.82113	1.92336	1.84893	1.99779	2.7505	0.477033542	0.19406249	2.5	5.2	1.505	2.39E-07	1.14E-08	-1.85E+00	0.075615152	0.00E+00	0.00E+00	138.424	 1.092778e+01 	0.0000099	3	6.69E-07	0.3	1.76057	7.66E+20	1.7505	0.05
190106A	-10.4325	-10.4611	-10.404	4.19124	4.16014	4.22233	1.26841	1.24141	1.29542	2.9365	1.451761775	1.000740851	2.45	6.2	1.86	3.36E-07	1.30E-08	-8.93E-01	0.225653939	0.00E+00	0.00E+00	76.8	 2.085136e+00 	0.000006	2	4.52E-07	0.3	1.94	5.53E+14	1.9365	0.21
190114A	-10.7527	-10.7864	-10.7191	3.74534	3.70312	3.78755	1.18375	1.13759	1.22991	1.86	0.12	0.12	2.6	5	3.37	4.12E-08	9.53E-09	-1.51E+00	0.399853636	0.00E+00	0.00E+00	66.6	 9.829423e+00 	0.0000008	1.2	9.06E-08	0.2	1.83	4.41E+21	0.86	0.22
190627A	-11.3984	-11.46	-11.3369	4.71457	4.65322	4.77592	1.55937	1.43953	1.67921	1.964	0.135	0.089	2.5	5.8	1.942	5.89E-08	1.01E-08	-2.41E+00	0.288660606	0.00E+00	0.00E+00	1.6	 8.809541e-01 	0.000000099	0.22	2.04E-07	0.3	1.95997	1.81E+21	0.964	0.38
050922C	-9.4772	-9.50914	-9.44526	2.52429	2.48998	2.55859	1.22035	1.20708	1.23363	2.064	0.082	0.056	1	6	2.198	5.84E-07	1.74E-08	-8.90E-01	0.172227273	0.00E+00	0.00E+00	4.5	 4.480179e-01 	0.00000162	0.54	0.000000584	0.32	2.2119	2.81E+21	1.064	0.06
60926	-10.8475	-10.9299	-10.765	3.351	3.25173	3.45027	1.45111	1.3355	1.56672	2.357	0.070229979	0.051915797	2.5	6	3.208	5.86E-08	5.43E-09	-2.38E+00	0.155972727	0.00E+00	0.00E+00	8	 1.143680e+00 	0.000000219	0.25	5.86E-08	0.14	2.00443	3.16E+22	1.357	0.23
061110A	-8.33235	-8.54265	-8.12205	2.24614	2.21279	2.27949	4.46435	4.34489	4.58381	2.977	0.062	0.059	1.67	3.9	0.758	2.85E-08	6.22E-09	-2.04E+00	0.337927273	0.00E+00	0.00E+00	40.7	 5.903362e+00 	0.00000106	0.76	2.85E-08	0.12	1.82722	3.75E+16	1.98	0.12
061222A	-9.95369	-9.9768	-9.93058	3.92091	3.89648	3.94535	1.35061	1.33254	1.36869	1.86	0.13	0.12	2.38	6.2	2.088	7.33E-07	1.51E-08	-4.87E-01	0.128506667	0.00E+00	0.00E+00	71.4	 1.216553e+01 	0.00000799	1.58	0.000000733	0.26	1.92748	3.69E+22	0.86	0.04
70508	-9.16118	-9.17197	-9.15038	3.02525	3.01336	3.03714	1.37377	1.36042	1.38713	1.764	0.037	0.036	2	6	0.82	2.24E-06	3.07E-08	-6.79E-01	0.093997273	0.00E+00	0.00E+00	20.9	 7.317486e-01 	0.0000196	2.73	0.00000224	0.61	1.82568	7.82E+21	0.764	-0.1/0.1
130505A	-8.91732	-8.93229	-8.90234	3.24559	3.22123	3.26994	1.3304	1.31475	1.34605	1.724	0.031	0.031	2.3	6.5	2.27	2.61E-06	8.21E-09	-1.18	0.072	0.00E+00	0.00E+00	88	 1.111542e+02 	0.000021	10	0.00000261	3.1	1.92439	5.24E+20	0.724	0.07
150314A	-8.6099	-8.62492	-8.59487	2.49217	2.47632	2.50803	1.19079	1.18086	1.20071	1.73	0.032	0.032	2	6	1.758	3.81E-06	6.06E-08	-4.65E-01	0.105857879	0.00E+00	0.00E+00	14.79	 2.629217e+00 	0.000022	3	0.00000381	0.9	1.84772	1.04E+22	0.73	0.03
150403A	-8.82118	-8.82629	-8.81608	3.19694	3.18997	3.20392	1.24471	1.24013	1.24929	1.679	0.015	0.015	2	6.2	2.06	1.71E-06	3.81E-08	-9.18E-01	0.036280909	0.00E+00	0.00E+00	40.9	 1.171655e+01 	0.000017	3	0.00000171	-.6	1.70996	6.17E+21	0.679	0.04
151021A	-9.64218	-9.705	-9.57936	3.15765	3.10557	3.20973	1.33346	1.31205	1.35487	2.27	0.56	0.48	2.4	5.5	2.33	7.66E-07	4.60E-08	-1.42E+00	0.094518182	0.00E+00	0.00E+00	110.2	 3.593864e+00 	0.000028	10	0.000000766	0.8	1.96079	2.17E+22	1.27	0.04
151027A	-9.93519	-9.9574	-9.91298	3.99907	3.98176	4.01638	1.74508	1.72009	1.77007	1.9235	0.063405441	0.0585235	2.7	6	0.81	5.82E-07	2.88E-08	-1.24E+00	0.081806061	0.00E+00	0.00E+00	129.69	 5.465449e+00 	0.0000078	2	0.000000582	0.6	2.00612	4.47E+21	0.9235	0.05
180720B	-8.84853	-8.8535	-8.84355	3.62033	3.61419	3.62647	1.34127	1.3359	1.34665	1.729	0.014	0.014	3	6.3	0.654	6.37E-07	9.92E-08	-6.64E-01	0.156776364	0.00E+00	0.00E+00	180.4	 3.688453e+00 	0.000086	10	1.15E-05	2.6	1.8461	1.75E+21	0.729	0.03
50904	-11.4544	-11.7493	-11.1596	4.6841	4.58562	4.78257	3.32203	2.69728	3.94677	1.846	0.054	0.054	3.2	6	6.29	5.38E-08	9.26E-09	-1.24E+00	0.264940909	0.00E+00	0.00E+00	174.2	 1.630626e+01 	0.00000483	1.80	5.38E-08	0.17	1.90813	2.48E+22	0.848	0.07
90423	-11.28019875	-11.36589439	-11.19450311	3.915217718	3.837574123	3.992861312	1.432675325	1.368621959	1.496728691	1.77	0.19	0.18	3	6	8.2	1.24E-07	7.73E-09	-1.65E+00	0.092848485	0.00E+00	0.00E+00	10.3	 1.055547e+00 	0.00000059	0.4	0.000000124	0.2	1.8158	5.64E+22	0.77	0.50
090429B	-10.9294	-11.1042	-10.7647	3.19881	3.0754	3.37249	1.4371	1.35176	1.5339	1.74	0.26	0.25	1	5.4	9.4	1.03E-07	9.00E-09	-6.53E-01	0.529739091	0.00E+00	0.00E+00	5.583999991	 9.943702e-01 	0.00000031	0.3	0.000000103	0.2	2.00127	1.08E+21	0.74	0.77
170714A	-10.07543958	-10.14183538	-10.00904379	4.280802321	4.256865912	4.30473873	3.421196945	3.271619963	3.570773926	1.6815	0.029	0.029	2.8	6	0.793	2.10E-08	8.56E-09	-1.97E+00	0.887268182	0.00E+00	0.00E+00	1000	 9.460989e+01 	0.0000028	3	0.000000021	0.2	1.84715	1.17E+21	0.6815	0.17
180624A	-11.54404073	-11.63219066	-11.45589079	4.171185481	4.071806426	4.270564536	1.243849338	1.120482895	1.367215782	1.95	0.17	0.17	3	6	2.855	8.96E-08	1.08E-08	-1.87E+00	0.185448485	0.00E+00	0.00E+00	486.4	 3.575626e+01 	0.0000058	3	2.51E-07	0.2	2.06008	1.27E+21	0.95	0.10
70223	-11.8633	-12.0295	-11.6972	4.22335	4.02024	4.42645	0.991734	0.912424	1.07104	2.03	0.7	0.58	3	6	1.6295	3.04E-08	7.89E-09	-1.72E+00	0.405363636	0.00E+00	0.00E+00	88.5	 3.200000e+01 	0.0000017	1.20	3.04E-08	0.15	2.25837	5.03E+21	1.03	0.12
111209A	-9.0572	-9.07819	-9.03621	4.13326	4.12281	4.14372	2.77382	2.72947	2.81817	1.2529	0.0078	0.0077	2.58	6.4	0.677	7.59E-08	1.70E-08	-1.68E+00	0.373833333	0.00E+00	0.00E+00	1400	 5.210948e+01 	0.000036	10	7.59E-08	0.1	1.81212	1.38E+21	0.2529	0.03
121229A	-12.3592	-12.6216	-12.0968	4.70907	4.32183	5.09631	0.900754	0.476397	1.32511	1.99	0.52	0.28	3.6	5.4	2.707	3.51E-08	1.13E-08	-1.35E+00	0.807258788	0.00E+00	0.00E+00	23.037	 4.132595e+01 	0.00000046	1.3	3.51E-08	0.0	2.18362	3452250	0.99	0.46
50318	-11.15470519	-11.21652488	-11.0928855	4.132084541	4.088304205	4.175864876	1.874408221	1.788501702	1.960314741	1.98	0.257	0.183	2.7	5	1.44	2.16E-07	1.01E-08	-8.06E-01	2.67E-01	0.00E+00	0.00E+00	32	 1.091679e+01 	0.00000108	0.77	0.000000216	0.20	1.98053	8.45E+20	0.95	0.10
50505	-11.04834786	-11.08106963	-11.01562609	4.270583544	4.240515952	4.300651136	1.462094791	1.4261685	1.498021082	1.973	0.083	0.082	2	6	4.27	1.67E-07	1.53E-08	-1.08E+00	0.150708788	0.00E+00	0.00E+00	58.9	 6.839795e+00 	0.00000249	1.79	0.000000167	0.31	2.01835	1.7E+22	0.973	0.12
71020	-9.169100889	-9.204200711	-9.134001067	2.311950854	2.272688793	2.351212916	1.119196934	1.108043725	1.130350143	1.844	0.08	0.078	1.5	6.2	2.146	8.67E-07	1.64E-08	-7.68E-01	0.03180697	0.00E+00	0.00E+00	4.2	 5.826972e-01 	0.0000023	1	0.000000867	0.3	1.59788	9.92E+20	0.844	0.05
71117	-11.23542972	-11.3364541	-11.13440533	3.901990464	3.784827497	4.019153431	1.104952391	1.015564589	1.194340193	1.94	0.34	0.32	2	5	1.3331	1.04E-06	2.26E-08	-3.14E-01	0.143084455	0.00E+00	0.00E+00	6.6	 2.148730e+00 	0.0000024	1	0.00000104	0.4	2.0457	11.0387	0.94	0.06
050820A	-10.01825047	-10.28499148	-9.751509454	3.750945731	3.512468203	3.98942326	1.136499703	1.123974002	1.149025404	1.92	0.257	0.176	2.5	6	2.612	2.10E-07	1.79E-08	-1.88E-01	0.447262727	0.00E+00	0.00E+00	26	 1.151344e+01 	0.00000344	2.42	0.00000021	0.23	1.96878	4.17E+21	0.9	0.12
060912A	-10.10808621	-10.25550616	-9.960666254	2.455171016	2.298606152	2.61173588	1.045731532	1.016793746	1.074669317	1.615	0.437	0.28	1.5	6	0.94	5.88E-07	2.11E-08	-1.20E+00	0.203263636	0.00E+00	0.00E+00	5	 5.806755e-01 	0.00000135	0.62	0.000000588	0.44	1.8948	2.33E+21	0.63	0.09
111117A	-11.5614784	-11.7222076	-11.4007492	3.040958613	2.872004503	3.209912722	1.320391508	1.202614838	1.438168178	1.79	0.55	0.46	2.5	6	2.211	1.50E-07	1.37E-08	-5.90E-01	1.69E-01	0.00E+00	0.00E+00	0.47	 5.366561e-02 	0.00000014	0.18	0.00000015	0.20	2.19593	2.28E+21	0.79	0.22
130604A	-8.315649473	-8.482091198	-8.149207748	2.071571247	1.971387234	2.17175526	1.742079764	1.700426193	1.783733335	1.98	0.3	0.27	1.9	5.2	1.06	6.30E-08	9.59E-09	-1.32E+00	0.253515152	0.00E+00	0.00E+00	37.7	 2.975946e+01 	0.0000014	1	0.000000063	0.2	2.08823	2.24E+21	0.98	0.12
160203A	-11.36748516	-11.45207195	-11.28289837	3.66139836	3.574387933	3.748408786	1.146279559	1.086088659	1.206470459	1.47	0.97	0.47	2.5	5.2	3.52	7.93E-08	1.93E-08	-2.00E+00	0.383312121	0.00E+00	0.00E+00	20.2	 2.285985e+00 	0.0000012	1	7.93E-08	0.4	1.75592	1.04E+22	0.61	0.20
070721B	-10.5089	-10.8304	-10.1008	3.94739	3.88071	4.08239	2.5054	2.42127	2.60415	1.52	0.12	0.12	3.6	5.2	3.626	1.57E-07	1.52E-08	-8.35E-01	0.16709	0.00E+00	0.00E+00	340	 2.246800e+01 	0.0000036	2	0.000000157	0.3	1.52512	7.85E+21	0.52	0.11
71003	-11.6776	-11.8135	-11.5417	4.78411	4.6856	4.88261	1.97901	1.79591	2.16212	1.837	0.13	0.066	4	5.5	1.60435	6.35E-07	2.44E-08	-8.41E-01	0.064751212	0.00E+00	0.00E+00	150	 4.616348e+00 	0.0000083	3	0.000000635	0.4	1.91015	7.40868E+20	0.837	0.07
080916A	-10.7527	-10.8119	-10.6935	3.60698	3.53348	3.68047	0.998947	0.972899	1.025	1.83	0.31	0.29	3	6.1	0.689	2.51E-07	1.07E-08	-1.64E-01	0.270045758	0.00E+00	0.00E+00	60	 6.680057e+00 	0.000004	1	0.000000251	0.2	1.88453	5.53508E+21	0.83	0.21
081203A	-10.9244	-10.9813	-10.8674	4.02089	3.98157	4.06021	1.86904	1.80465	1.93344	1.915	0.455	0.39	3	6	2.1	2.46E-07	1.14E-08	-1.17E+00	0.071345455	0.00E+00	0.00E+00	294	 8.998889e+01 	0.0000077	3	0.000000246	0.2	2.03508	4.58954E+21	0.82	0.06
90519	-11.76	-11.9715	-11.5486	3.44619	3.2059	3.68648	1.42452	1.11802	1.73102	1.63	0.33	0.27	2.6	4.3	3.85	6.86E-08	1.06E-08	-3.07E-01	0.389413636	0.00E+00	0.00E+00	64	 8.183147e+00 	0.0000012	1	6.86E-08	0.2	1.46604	1.35112E+22	0.63	0.20
90812	-10.1673	-10.2734	-10.0611	3.52924	3.39666	3.66182	1.37252	1.2884	1.45664	1.53	0.22	0.19	3	6	2.452	3.52E-07	1.33E-08	-8.62E-01	0.063048182	0.00E+00	0.00E+00	66.7	 1.528687e+01 	0.0000058	2	0.000000352	0.2	1.88559	5.99391E+21	0.53	0.05
110808A	-12.0844	-12.1681	-12.0007	4.50711	4.35146	4.66277	0.807091	0.729491	0.884691	2.4	0.46	0.41	2.8	6	1.348	3.81E-08	8.14E-09	-1.85E+00	0.297754545	0.00E+00	0.00E+00	48	 9.028595e+00 	0.00000033	0.8	3.81E-08	0.2	2.33721	3.66861E+14	1.4	0.43
120804A	-9.76499	-9.93053	-9.59945	2.56606	2.38804	2.74408	1.09546	1.05838	1.13255	1.86	0.38	0.35	2.17	6	1.3	8.66E-07	2.86E-08	-9.79E-01	0.202497879	0.00E+00	0.00E+00	0.81	 8.323456e-02 	0.00000088	0.5	0.000000866	0.6	2.05668	4.05642E+21	0.86	0.08
141220A	-9.87283	-9.91528	-9.83037	2.77561	2.71823	2.83298	1.42066	1.36992	1.47139	2.1	0.26	0.12	2	4.5	1.3195	8.12E-07	4.03E-08	-2.49E-01	0.347811515	0.00E+00	0.00E+00	7.21	 4.790157e-01 	0.0000026	1	0.000000812	0.7	1.80565	3.06016E+21	1.1	0.38
60418	-9.79296	-9.842	-9.74392	3.11887	3.06163	3.17612	1.47655	1.43185	1.52126	1.98	0.23	0.22	2.6	6	1.49	4.99E-07	1.63E-08	-1.50E+00	0.053854545	0.00E+00	0.00E+00	103.1	 4.672552e+01 	0.00000833	2.53	0.000000499	0.35	1.94118	4.50436E+21	0.98	0.06
90426	-10.6655	-10.7474	-10.5729	2.64657	2.55801	2.76734	1.00429	0.962438	1.04777	1.705	0.49	0.457	1.7	6	2.609	1.56E-07	1.44E-08	-1.74E+00	0.134648485	0.00E+00	0.00E+00	1.2	 2.532982e-01 	0.00000018	0.3	0.000000156	0.3	2.03664	2.05E+21	0.64	0.22
140509A	-11.0977	-11.1759	-11.008	3.58709	3.52293	3.70036	1.40649	1.312	1.52036	1.86	0.23	-0.21	2.85	5	2.4	1.18E-07	1.77E-08	-1.49E+00	0.234306061	0.00E+00	0.00E+00	23.2	 5.171157e+00 	0.0000012	2	0.000000118	0.4	1.93407	7.97E+20	0.86	0.20
151029A	-10.7664	-10.8566	-10.6619	2.7098	2.59701	2.84531	1.23481	1.16457	1.31059	2.25	0.43	-0.23	2	4.6	1.423	9.49E-08	1.18E-08	-4.55E-01	0.924927273	0.00E+00	0.00E+00	8.95	 3.955078e+00 	0.00000039	0.6	9.49E-08	0.3	2.307153	3.56E+21	3.15	1.08
