,Fbest,T_abest,Alpha_best,Photonindex_plateau,Beta,Gamma,log10PeakFlux,log10Epeak,log10T90,log10Fluence,log10NH,log10z
50,-10.11356029,4.209325619,1.28909841,1.91,0.91,1.97674,-5.517126416391246,-inf,1.7481880270062005,-4.578396073130169,21.57287160220048,0.012837224705172217
53,-10.05407183,3.462984031,1.725607399,2.06,1.06,2.03418,-5.6252516539898965,-inf,1.8976270912904414,-4.619788758288394,22.383815365980432,0.48230176722344276
54,-11.2325386,4.09266933,1.521337846,2.3,1.3,2.00149,-7.218244625347531,-inf,2.0791812460476247,-5.853871964321762,20.89707700320942,-0.07314329105030767
55,-8.713485538,2.87876286,1.334375589,1.735,0.735,1.9433,-5.714442690992226,-inf,1.209515014542631,-4.920818753952375,21.797267540830717,0.414973347970818
56,-9.931925517,3.268754796,1.445295258,2.079,1.079,2.11482,-6.772113295386326,-inf,2.0253058652647704,-5.337242168318426,21.450249108319362,0.5250448070368452
57,-10.11185797,3.678206148,1.369462258,1.375,0.375,1.86248,-6.8996294548824375,-inf,2.1072099696478683,-5.7447274948966935,22.33445375115093,0.37548071461857246
58,-11.12613293,4.084505029,1.760317743,1.99,0.99,2.13864,-6.801342913045577,-inf,2.4471580313422194,-5.6020599913279625,21.510545010206613,0.22788670461367355
59,-10.58510158,3.58176278,1.00469263,1.92,0.92,2.102,-6.787812395596042,-inf,1.0,-6.1487416512809245,21.69635638873333,-0.27613403555649624
60,-10.79325557,3.855508334,1.473984673,1.84,0.84,1.98207,-6.978810700930062,-inf,2.268343913951065,-5.366531544420414,21.136720567156406,0.29380435991933673
61,-11.86226923,4.481561711,2.519603733,1.87,0.87,1.95818,-7.51427857351842,-inf,2.4313637641589874,-5.6777807052660805,21.496929648073216,0.5851221863068155
62,-9.354590372,2.931957486,1.235861256,1.991,0.991,2.4947,-5.8326826652518236,-inf,1.5314789170422551,-4.7423214251308154,21.57287160220048,0.35410843914740087
63,-11.3297064,3.669593645,0.993764978,2.02,1.02,2.08621,-7.257274868695302,-inf,1.7831886910752577,-6.086186147616283,20.672097857935718,0.3222192947339193
64,-9.456627445,3.153800766,1.424876309,1.667,0.667,1.76997,-6.269217724333611,-inf,1.4313637641589874,-7.167491087293763,21.723455672035186,0.1903316981702915
65,-11.3423,3.70655,1.29089,2.01,1.01,2.03416,-7.527243550682788,-inf,0.9444826721501687,-6.721246399047171,21.818225893613956,0.6720978579357175
66,-10.04734554,3.528136567,1.529096669,1.98,0.98,2.03408,-6.801342913045577,-inf,1.7481880270062005,-5.337242168318426,22.02530586526477,0.20628604441243248
67,-9.050589497,2.995990561,1.128410598,1.924,0.924,1.96315,-5.235823867609669,-inf,1.6812412373755872,-4.6777807052660805,21.630427875025024,-0.26440110030182007
68,-10.11471036,3.17793555,2.00074629,1.6405,0.6405,1.75106,-6.3655227298392685,-inf,-0.5228787452803376,-6.468521082957745,20.64246452024212,-0.04431224968649419
69,-11.27458086,4.33113504,1.760983139,1.502,0.502,2.09,-6.847711655616943,-inf,2.322219294733919,-5.045757490560675,21.195899652409235,0.6127838567197355
70,-11.16037428,3.683946399,0.886105811,2.09,1.09,2.03975,-6.575118363368933,-inf,1.6812412373755872,-5.958607314841775,20.909556029241177,0.1024337056813363
72,-11.67225839,4.201218887,1.130877409,1.92,0.92,2.06549,-6.928117992693875,-inf,0.3424226808222063,-6.698970004336019,21.01703333929878,0.1367205671564068
73,-9.626765539,2.896555345,1.180748671,1.91,0.91,1.98015,-6.228412519118745,-inf,0.6434526764861874,-5.853871964321762,21.193124598354462,-0.012780770091995148
74,-9.71287528,2.952650108,1.174172639,1.895,0.895,2.08587,-6.438898616350944,-inf,1.5390760987927767,-5.431798275933005,21.705863712283918,0.23299611039215382
75,-11.34682089,4.303689975,1.121233681,2.064,1.064,2.11535,-6.962573502059376,-inf,1.5932860670204572,-5.619788758288394,21.450249108319362,0.43964842956347366
76,-11.14600534,3.379338831,1.061528156,1.89,0.89,1.96352,-7.00436480540245,-inf,1.6812412373755872,-5.795880017344075,21.895974732359065,0.48798633112939344
77,-9.845087061,3.984668123,1.395817008,1.758,0.758,1.80187,-5.52432881167557,-inf,0.8512583487190752,-5.045757490560675,20.878521795501207,-0.3098039199714863
78,-10.18031025,3.313880941,1.160654102,1.86,0.86,2.03333,-5.954677021213342,-inf,1.173186268412274,-5.481486060122113,21.912222056532414,0.026533264523296733
80,-11.14843575,3.554376695,1.362460631,2.08,1.08,2.23535,-7.110698297493689,-inf,0.5797835966168101,-6.698970004336019,21.413299764081252,0.07188200730612536
82,-11.50116648,3.601994145,0.86819371,2.46,1.46,2.17077,-7.13430394008393,-inf,1.568201724066995,-6.327902142064283,20.53529412004277,0.24427712080184286
83,-11.57203392,3.745229112,0.963061356,2.36,1.36,2.25722,-7.3214816209598865,-inf,1.9242792860618816,-5.853871964321762,22.053078443483418,0.6787004349983043
85,-10.35197547,3.625034952,1.012942109,2.29,1.29,2.11575,-6.400116927926312,-inf,2.295567099962479,-5.221848749616356,21.52762990087134,0.5563025007672873
86,-10.67686549,2.865025016,1.112376912,1.83,0.83,1.94442,-6.97061622231479,-inf,0.146128035678238,-6.795880017344075,21.01703333929878,0.1099158630237933
87,-11.49332637,5.227294768,1.765329405,2.1425,1.1425,1.89414,-6.562249437179612,-inf,2.241795431295199,-5.045757490560675,20.895974732359065,0.15836249209524964
88,-11.55672426,3.978012985,1.044550126,2.09,1.09,1.91138,-6.79317412396815,-inf,0.4623979978989561,-5.698970004336019,21.34830486304816,-0.09691001300805639
89,-11.3406,4.91124,1.50754,2.075,1.075,2.07397,-7.284832642151542,-inf,2.6424645202421213,-5.6777807052660805,21.48000694295715,0.14860265480609336
91,-10.81420494,3.872039463,1.225198834,2.03,1.03,2.05121,-7.050609993355087,-inf,1.3944516808262164,-5.698970004336019,21.296665190261532,-0.20901152491118416
92,-9.89698,3.84089,1.8412,2.1905,1.1905,1.96436,-7.145693958198919,-inf,1.6812412373755872,-5.229147988357856,21.56702636615906,0.1643528557844371
93,-9.681672985,3.500669708,1.422398856,1.778,0.778,1.89199,-5.5638373529592435,-inf,1.413299764081252,-4.3872161432802645,22.02118929906994,0.24797326636180664
94,-9.082336001,2.541665548,1.146490626,1.687,0.687,1.90907,-5.554395796726403,-inf,1.0,-5.0,21.136720567156406,0.20682587603184974
95,-9.075883162,2.611097194,0.958535376,1.755,0.755,1.85342,-5.372634143407267,-inf,1.1139433523068367,-4.928117992693875,22.07554696139253,-0.08618614761628333
96,-12.08537383,5.089520716,1.423519273,1.39,0.39,1.85145,-6.050122295963125,-inf,1.5888317255942073,-5.221848749616356,21.959518376972998,0.4517864355242902
97,-11.28292779,3.846274153,1.371677184,1.83,0.83,1.95985,-6.85078088734462,-inf,2.012837224705172,-5.3979400086720375,22.068185861746162,0.5263392773898441
98,-10.66765993,3.989933926,1.215842875,1.829,0.829,1.94053,-6.266802734893431,-inf,1.8025000677643934,-5.275724130399211,22.170261715394957,0.6989700043360189
99,-11.60816955,4.42202873,1.467233707,2.25,1.25,2.55463,-7.134896025358872,-inf,2.462397997898956,-5.136677139879544,21.350248018334163,0.49853109180723965
100,-10.65738581,4.106278347,1.152976617,1.99,0.99,2.03824,-6.09366495819491,-inf,2.0051805125037805,-5.070581074285707,21.413299764081252,-0.14508697769214446
101,-10.956,3.68307,1.0241,2.01,1.01,2.20884,-6.860120913598763,-inf,1.3666097103924297,-5.7447274948966935,21.45178643552429,0.46879026209961094
102,-10.15210338,3.485172154,1.44859414,1.63,0.63,1.75797,-6.484126156288321,-inf,1.7986506454452689,-5.443697499232713,22.167317334748176,0.44916973216520095
103,-11.0269,3.79948,1.90651,1.69,0.69,1.89579,-7.1180450286604,-inf,1.5877109650189114,-5.795880017344075,21.710117365111817,0.4593924877592308
105,-10.29748949,3.521384868,2.263127344,1.645,0.645,1.8831,-6.714442690992226,-inf,1.8543060418010806,-5.619788758288394,21.34830486304816,-0.09691001300805639
106,-11.17207165,3.538384192,0.542155161,1.91,0.91,2.03526,-6.681936665037238,-inf,1.6989700043360187,-5.721246399047171,22.12057393120585,0.579326203755255
107,-10.14322956,3.159095907,1.016132987,1.65,0.65,1.92121,-6.585026652029182,-inf,1.428134794028789,-5.522878745280337,21.916980047320383,0.4265112613645752
108,-10.37700557,3.211382703,1.053291038,1.78,0.78,1.82021,-6.642065152999546,-inf,1.2278867046136734,-6.173925197299173,21.045322978786658,-0.01322826573375516
109,-10.5957,3.59799,1.06622,2.17,1.17,2.06954,-6.97469413473523,-inf,2.2380461031287955,-5.2076083105017466,21.01703333929878,0.4913616938342727
110,-11.31120735,4.171788233,1.303535506,1.87,0.87,2.00683,-6.903089986991944,-inf,1.8388490907372552,-5.958607314841775,21.94596070357757,0.3613500243522664
111,-11.92063319,5.409190417,1.509957635,2.16,1.16,2.37144,-7.039053804266168,-inf,1.7965743332104296,-5.698970004336019,22.07554696139253,0.24870873560091777
112,-9.618411717,3.23392922,1.545465839,1.9455,0.9455,1.98504,-5.982966660701219,-inf,1.3673559210260189,-5.161150909262744,22.041392685158225,0.3424226808222063
113,-11.28203604,4.209335181,1.156156118,1.95,0.95,2.0682,-7.007004901568658,-inf,2.2600713879850747,-5.886056647693163,21.66181268553726,0.009875633712160119
115,-9.24742,2.59006,1.28449,1.198,0.198,1.68684,-7.474955192963154,-inf,2.4771212547196626,-5.7447274948966935,21.12057393120585,0.08564728829685654
116,-10.8721,3.56731,0.914676,2.17,1.17,2.29559,-6.665546248849069,-inf,2.0916669575956846,-5.1487416512809245,20.792391689498253,0.11293997608408006
117,-10.5162,2.65954,1.16497,1.65,0.65,2.06879,-7.006563769502388,-inf,0.7347998295888469,-6.657577319177793,21.012837224705173,0.11504439525841313
118,-10.7207,3.68772,1.17745,1.65,0.65,2.0604,-6.651695136951839,-inf,2.3096301674258988,-5.040958607678906,21.198657086954423,0.5563025007672873
119,-10.5122,3.52927,1.50729,1.84,0.84,2.20112,-6.1979107421182675,-inf,-0.744727494896694,-6.200659450546418,21.3541084391474,-0.4485500020271248
123,-10.0154,3.19808,2.10218,2.09,1.09,2.21436,-6.655607726314889,-inf,0.18752072083646307,-6.552841968657781,21.41995574848976,-0.14874165128092473
124,-10.9111,3.9488,1.19347,1.94,0.94,2.24976,-6.5718652059712115,-inf,2.050379756261458,-5.1487416512809245,21.328379603438737,0.2268575702887235
125,-10.8393,2.87134,0.951056,1.86,0.86,2.15896,-7.368556230986828,-inf,1.041392685158225,-6.6020599913279625,22.01703333929878,0.6065963091792852
126,-9.7298,3.59073,1.22509,1.672,0.672,1.88134,-5.772113295386326,-inf,1.9712758487381052,-4.795880017344075,22.00432137378264,0.43136376415898736
127,-10.8523,3.90552,1.18974,1.77,0.77,2.06486,-6.730487055782084,-inf,2.1271047983648077,-5.026872146400302,21.81954393554187,0.5132176000679389
128,-11.3621,4.14388,0.875171,2.03,1.03,2.15785,-6.732828271596986,-inf,2.239549720840473,-5.958607314841775,21.67760695272049,0.20411998265592482
129,-9.90438,3.30686,0.948932,1.9,0.9,1.74751,-6.06198090252379,-inf,2.0457140589408676,-5.552841968657781,21.81756536955978,-0.051098239029786295
130,-9.50443,3.53686,1.25134,1.871,0.871,1.84304,-6.289882634888183,-inf,2.189770956346874,-4.853871964321762,21.328379603438737,-0.13966199342900631
131,-11.3117,3.77824,1.64981,1.94,0.94,1.93772,-7.223298816011589,-inf,1.7817553746524688,-6.0,22.460897842756548,0.6727441983065992
132,-9.84891,2.85608,1.16056,1.815,0.815,1.95996,-6.455931955649724,-inf,1.6232492903979006,-5.619788758288394,21.7427251313047,0.36172783601759284
