,Flux1.100m,Energy_Flux100,Significance,nu,nufnu,Variability_Index,Pivot_Energy,X.name,z,Gaia_G_Magnitude,PL_Index,LP_Index,LP_beta,Label
48,1.6599999999999793e-10,1.9600000000001055e-12,6.943266000000003,452000000000018.8,5.00999999999947e-13,7.220255400000002,2822.7589999999796,4FGL J0042.0+3640,0.47,19.3826,2.1009848,2.1128678,-0.015462765,BLL
49,4.030000000000005e-10,5.079999999999777e-12,14.308269999999968,1859999999999.9265,4.239999999999682e-13,15.586789999999958,1199.9125999999894,4FGL J0042.2+2319,1.426,20.5038,2.3218625,2.2299035,0.120398484,FSRQ
50,1.8099999999999816e-10,2.199999999999966e-12,7.466921999999991,8.710000000000725e+16,6.560000000000593e-13,8.998507000000007,4028.8279999999863,4FGL J0043.5-0442,0.48,18.5955,1.9197034,1.8828746,0.04078972,BLL
51,2.0299999999999901e-10,2.7800000000001473e-12,8.474913000000008,3020000000000342.0,1.0300000000000649e-12,16.63228600000002,3149.523700000034,4FGL J0043.7-1116,0.264,17.8349,1.9115086,1.592347,0.26773307,BLL
52,2.6500000000000167e-09,2.6199999999997283e-11,56.53064700000033,58899999999999.8,3.009999999999697e-13,190.19281000000103,1202.2003999999868,4FGL J0043.8+3425,0.966,19.2347,1.9526112,1.864235,0.051662784,FSRQ
53,2.0400000000000023e-10,3.8199999999999276e-12,7.5118146,9119999999999.67,1.1100000000001094e-12,43.06835600000021,680.7597699999959,4FGL J0044.2-8424,1.032,19.6388,2.6622696,2.6612625,0.000264367,FSRQ
54,7.809999999999993e-10,8.300000000000505e-12,26.298399999999884,40899999999995.99,1.36999999999998e-12,52.79459399999999,2140.3943000000063,4FGL J0047.9+3947,0.2517,17.4738,1.9808937,1.9496845,0.027746972,BLL
55,3.88000000000002e-10,7.200000000000509e-12,10.310909999999922,4469999999999.627,3.35999999999966e-13,125.62030999999891,1176.558800000001,4FGL J0047.9+2233,1.161,20.4497,2.5089388,2.5131338,0.015077729,FSRQ
56,1.8499999999999846e-10,2.2699999999998782e-12,6.4206370000000055,157999999999991.75,2.7999999999998755e-13,7.098237999999997,2917.3953000000074,4FGL J0049.0+2252,0.26415,19.1211,2.2272182,2.201496,0.04208052,BLL
57,1.3000000000000112e-09,1.2500000000001274e-11,36.93881600000016,22900000000000.63,1.5300000000000018e-12,115.451964999999,1014.3190299999997,4FGL J0049.7+0237,1.474,18.2934,2.210674,2.1641383,0.057245392,BLL
58,3.849999999999987e-10,5.530000000000029e-12,19.60742000000009,3580000000000.214,1.3999999999998801e-12,65.85705999999986,681.8600500000003,4FGL J0050.0-5736,1.797,17.6835,2.6166286,2.6115556,0.008495748,FSRQ
59,9.440000000000015e-10,1.3999999999998803e-11,27.501695999999995,3550000000000.052,5.660000000000377e-13,206.6199600000011,855.3768999999978,4FGL J0050.4-0452,0.92,18.1873,2.3781056,2.3358188,0.06921294,FSRQ
60,3.9300000000000276e-09,3.4199999999997223e-11,76.29878999999922,132000000000015.3,6.600000000000467e-12,157.92975000000033,924.4345999999947,4FGL J0050.7-0929,0.635,15.675,2.016378,1.9210192,0.061110992,BLL
61,9.090000000000054e-10,9.20999999999896e-12,24.399692999999928,1480000000000.1458,2.3199999999999986e-12,152.8742700000015,754.0610999999985,4FGL J0051.1-0648,1.975,19.4581,2.3505692,2.232562,0.14849661,FSRQ
62,1.8099999999999818e-09,1.630000000000161e-11,57.27042799999964,9040000000000748.0,4.6400000000002064e-12,164.28955000000033,2200.7866000000104,4FGL J0051.2-6242,0.3,16.943092,1.7622628,1.5837516,0.09435062,BLL
63,1.539999999999989e-10,3.6400000000003755e-12,9.639533000000004,1140000000000.0703,6.769999999999321e-13,24.078058000000063,330.42242000000317,4FGL J0051.5-4220,1.749,18.6475,2.796241,2.5558639,0.28053254,FSRQ
64,7.300000000000074e-10,9.229999999999763e-12,28.226275999999935,5649999999999494.0,2.959999999999735e-12,16.972060999999954,3205.0996000000073,4FGL J0054.7-2455,0.12,16.5616,1.774527,1.683218,0.07679502,BLL
65,7.220000000000027e-10,7.990000000000143e-12,24.073341000000116,145999999999987.78,7.029999999999624e-12,22.67100500000003,2962.750500000031,4FGL J0056.3-0935,0.103147,16.9704,1.8729496,1.8635517,0.006912174,BLL
66,1.679999999999988e-10,2.2599999999999924e-12,5.662455999999998,1859999999999.9265,4.3000000000001286e-13,10.791104999999964,1974.4243000000051,4FGL J0056.8+1626,0.206,19.7667,2.1954598,1.8644179,0.23278727,BLL
67,4.120000000000058e-10,6.1100000000006345e-12,13.591805000000038,3629999999999.888,7.969999999999786e-13,55.39700299999979,870.5273000000067,4FGL J0058.0-0539,1.2456,18.4109,2.45726,2.4435415,0.02553405,FSRQ
68,2.180000000000028e-10,3.0600000000001417e-12,8.211488,9890000000000.463,4.800000000000142e-13,79.38579599999962,1297.7560000000103,4FGL J0058.4+3315,1.369,19.8193,2.3432217,2.3017433,0.032184698,FSRQ
69,1.7200000000000026e-10,2.3799999999999337e-12,6.244401499999994,17800000000000.24,1.6199999999998834e-12,11.865838000000124,1449.2600000000073,4FGL J0059.2+0006,0.719017,17.4617,2.3763874,2.3754966,0.00013637,FSRQ
70,2.2200000000000102e-10,2.560000000000296e-12,10.34647399999999,9.229999999999762e+16,2.4700000000001924e-12,8.876599,4984.30800000001,4FGL J0059.3-0152,0.144,18.2471,1.8054401,1.6430991,0.125831,BLL
71,8.749999999999747e-11,1.849999999999939e-12,4.7488103,14800000000001.457,2.199999999999966e-13,14.191076000000022,531.8653599999994,4FGL J0059.5-3338,0.874,19.960562,2.8083227,2.8064938,-0.015910758,FSRQ
72,1.569999999999985e-10,2.090000000000223e-12,5.907922300000003,157999999999991.75,8.060000000000177e-13,13.592395999999994,1628.808099999999,4FGL J0101.0-0059,0.67,19.0019,2.3781888,2.3888803,-0.009977773,BLL
73,8.669999999999798e-11,2.909999999999956e-12,3.669400999999999,3770000000000.059,5.429999999999414e-13,6.180114300000005,519.0146499999972,4FGL J0101.8-7543,1.017,18.2587,2.7899492,2.8211377,-0.049035013,FSRQ
74,3.71000000000004e-10,7.910000000000427e-12,15.736737999999875,63800000000005.47,1.2999999999998888e-12,136.27884999999884,509.37624999999537,4FGL J0102.4+4214,0.874,19.9969,2.6797183,2.6228461,0.15485987,FSRQ
75,1.7399999999999992e-10,2.339999999999773e-12,5.580253599999998,33099999999998.52,2.8300000000000606e-13,3.8759548999999995,1762.2079999999846,4FGL J0103.5+1526,0.246,19.0674,2.2414632,2.2239242,0.027656414,BLL
76,2.4499999999999905e-10,3.5400000000000928e-12,9.394153999999999,7940000000000084.0,1.9099999999998774e-12,36.142384000000284,2306.4539000000154,4FGL J0103.8+1321,0.49,18.0371,2.0816712,1.9321544,0.107831635,BLL
77,3.3100000000000144e-10,6.500000000000667e-12,15.514584000000132,1459999999999.8777,1.4800000000001456e-12,82.02611500000027,556.1689499999977,4FGL J0104.8-2416,1.747,18.883,2.5919423,2.5304377,0.102076694,FSRQ
78,4.6499999999999674e-10,6.630000000000415e-12,16.354896999999944,25099999999997.758,4.200000000000003e-12,80.30953000000042,1082.8375999999973,4FGL J0105.1+3929,0.44,19.0637,2.304167,2.2339084,0.08172605,BLL
79,1.9600000000000173e-10,3.889999999999925e-12,7.963835000000006,10099999999999.02,1.2600000000001095e-12,11.179421000000126,680.935900000001,4FGL J0108.1-0039,1.374626,17.4727,2.743876,2.7065592,0.09156337,FSRQ
80,1.100000000000012e-08,1.1600000000000039e-10,167.5218200000004,3250000000000.1865,6.0399999999995486e-12,6428.144500000033,508.14914000000596,4FGL J0108.6+0134,2.099,17.7533,2.3618586,2.2844024,0.10178678,FSRQ
81,7.020000000000069e-10,7.250000000000109e-12,21.570751000000126,239999999999996.25,3.0299999999999675e-12,8.637886999999992,1572.5552000000032,4FGL J0109.1+1815,0.145,16.9435,2.1103554,2.0484786,0.062079858,BLL
82,1.6000000000000206e-10,2.2800000000002435e-12,9.365994999999998,2.019999999999895e+16,1.5999999999999092e-12,19.406180999999943,3930.72880000004,4FGL J0110.0-4019,0.313,18.4056,1.8152498,1.6957281,0.13271405,BLL
83,6.889999999999596e-11,2.5799999999998253e-11,5.0911503,3889999999999924.5,5.36000000000038e-12,14.970980000000006,11470.651999999933,4FGL J0110.2+4151,0.096,18.434807,1.6552483,1.6427437,0.018502885,BLL
84,2.180000000000028e-10,2.4600000000001216e-12,9.238627999999991,1e+17,1.9399999999998827e-12,7.600905399999993,2793.2805000000108,4FGL J0110.7-1254,0.234,18.9353,2.0305126,2.0392933,-0.022025993,BLL
85,1.0500000000000048e-10,1.6300000000001613e-12,4.6771082999999996,302000000000034.2,5.629999999999401e-13,14.583126000000117,4545.919000000018,4FGL J0111.4+0534,0.346,19.4289,1.916776,1.8181016,0.13303283,BLL
86,1.8300000000000012e-10,3.730000000000101e-12,10.881601000000106,5889999999999.98,9.080000000000296e-13,24.544228000000068,501.8908400000003,4FGL J0112.0-6634,1.1888,17.6358,2.727102,2.6754267,0.11739218,FSRQ
87,7.980000000000004e-09,7.510000000000547e-11,126.49015999999956,64299999999996.83,1.5799999999999176e-11,423.79635999999755,755.2535400000036,4FGL J0112.1+2245,0.265,14.8274,2.0853996,2.0057313,0.057088297,BLL
88,2.4800000000000235e-10,3.4900000000001554e-12,8.669298999999997,302000000000034.2,4.910000000000364e-13,20.315220000000235,744.4129600000047,4FGL J0112.1-0321,0.77177,18.9769,2.5255811,2.4799507,0.1411398,FSRQ
89,2.760000000000014e-09,3.009999999999697e-11,67.61259999999992,7329999999999.524,1.2199999999998658e-11,1040.777100000006,500.21779999999814,4FGL J0112.8+3208,0.603,18.0118,2.3405662,2.25158,0.06694947,FSRQ
90,4.440000000000003e-10,3.529999999999818e-12,19.716494000000036,6309999999999.497,1.339999999999974e-12,161.09263999999908,757.0102499999972,4FGL J0113.1-3553,1.22,18.8539,2.4037652,2.3358436,0.0893292,FSRQ
91,1.679999999999988e-09,1.199999999999932e-11,38.31344999999963,20900000000002.234,3.969999999999863e-12,463.39682000000323,991.5855999999989,4FGL J0113.4+4948,0.389,18.2197,2.2192433,2.134458,0.06875474,FSRQ
92,2.350000000000022e-10,3.1500000000000025e-12,7.976849599999999,19099999999998.773,1.6499999999999746e-12,14.246181000000053,1426.6522000000052,4FGL J0113.7+0225,0.047,17.2475,2.4827306,2.5182672,-0.026831115,BLL
93,1.1100000000000049e-09,1.2800000000000955e-11,31.45138999999973,630999999999949.6,2.0400000000000022e-12,48.33647999999979,1461.27609999999,4FGL J0114.8+1326,0.583,17.1067,2.106443,2.1036708,0.002630385,BLL
94,1.3000000000000113e-10,1.739999999999999e-12,9.082214999999994,330999999999985.2,3.589999999999844e-13,16.47956799999987,7169.9624000000285,4FGL J0114.9-3400,0.48,19.5389,1.7209529,1.7517089,-0.031371165,BLL
95,2.4400000000000014e-10,4.879999999999883e-12,10.112429999999915,2509999999999.776,1.5799999999999177e-12,49.47259499999962,573.6692500000023,4FGL J0115.1-0129,1.365,17.9156,2.7212763,2.7141461,0.09997107,FSRQ
96,1.7200000000000027e-09,1.2300000000000054e-11,42.77893400000018,5649999999999494.0,2.5299999999998994e-12,305.5070199999986,2499.0399999999777,4FGL J0115.8+2519,0.358,17.5994,1.917892,1.917033,0.000822043,BLL
97,8.449999999999971e-10,1.2700000000001257e-11,28.058382000000208,6309999999999.497,5.099999999999566e-12,298.3137499999971,775.6614999999928,4FGL J0116.0-1136,0.67,18.0431,2.3620806,2.3327956,0.05733915,FSRQ
98,1.1300000000000006e-10,1.5600000000001357e-12,4.485129399999997,20900000000002.234,6.870000000000782e-13,15.206621000000084,2297.5923000000034,4FGL J0116.5-2812,0.7,19.0992,2.2347524,2.313979,-0.06126223,BLL
99,9.879999999999357e-11,2.1200000000002398e-12,5.216034400000002,5250000000000.517,2.199999999999966e-13,8.94992,520.4114000000031,4FGL J0116.5-3046,1.414,18.9853,2.6980448,2.574519,0.1505372,FSRQ
100,7.300000000000731e-11,1.0800000000001253e-12,4.785330299999999,1.0800000000001253e+17,8.560000000000916e-13,6.215055999999995,5826.590299999968,4FGL J0117.5-2442,0.279,19.471773,1.8293952,1.068352,0.47683516,BLL
101,7.05000000000001e-10,1.1400000000000702e-11,18.154680000000106,5239999999999.671,1.899999999999875e-12,139.06033000000113,1358.4779999999932,4FGL J0117.8-2109,1.49,20.0268,2.3761268,2.3323944,0.11489914,FSRQ
102,3.0500000000000252e-09,3.150000000000003e-11,58.241019999999644,5060000000000.007,3.860000000000404e-12,206.09792999999786,1069.170499999995,4FGL J0118.9-2141,1.165,17.8102,2.259725,2.2505295,0.090119965,FSRQ
103,3.1100000000000156e-10,3.3000000000000982e-12,14.660076000000137,1.2199999999998608e+16,1.2300000000000055e-12,13.559207000000017,3796.894000000025,4FGL J0119.0-1458,0.114699,17.9902,1.8034194,1.6502172,0.12012213,BLL
104,2.2399999999999837e-10,3.239999999999913e-12,12.468828000000128,4.369999999999786e+17,9.590000000000804e-12,14.834687999999973,6752.1800000000785,4FGL J0123.1+3421,0.272,18.2919,1.6971,1.6558444,0.027618587,BLL
105,5.32999999999998e-10,6.480000000000092e-12,20.66856199999997,9.019999999999159e+17,4.760000000000082e-12,17.656964999999822,3111.098399999995,4FGL J0123.7-2311,0.404,18.4421,1.8648756,1.8391187,0.024021206,BLL
106,2.4900000000000204e-10,2.9699999999999205e-12,9.165653999999995,36299999999998.88,6.689999999999633e-13,45.94450399999955,1539.089700000011,4FGL J0124.8-0625,2.117,19.9123,2.2143812,2.1886997,0.061237916,BLL
107,1.330000000000011e-10,4.06999999999982e-12,8.802896499999997,7239999999999.218,4.800000000000142e-13,5.997450400000006,310.7587599999972,4FGL J0125.7-0015,1.077,20.4792,2.9635518,2.9162812,0.08324323,FSRQ
108,3.169999999999985e-10,6.8399999999997536e-12,13.675260999999873,19300000000001.15,1.320000000000153e-12,114.90328000000085,671.771240000003,4FGL J0126.0-2221,0.72,17.7349,2.5871994,2.5399935,0.11251697,FSRQ
109,7.259999999999925e-10,7.790000000000635e-12,23.421597000000155,22900000000000.63,1.199999999999932e-12,9.080567999999998,1303.4070999999897,4FGL J0127.2-0819,0.36,18.3563,2.1785197,2.1026697,0.097806744,BLL
110,2.4800000000000235e-10,3.760000000000344e-12,8.023448,2019999999999.887,1.0800000000001253e-12,21.283407000000036,830.2710000000072,4FGL J0127.9+4857,0.067,19.8072,2.5858328,2.605769,-0.028484147,BLL
111,1.5799999999999889e-10,1.5799999999999177e-12,5.710281999999996,75900000000003.53,2.8300000000000606e-13,27.008170999999756,2341.0815000000266,4FGL J0128.5+4440,0.228,19.5026,2.131759,2.0139835,0.2930569,FSRQ
112,2.6700000000000254e-10,4.539999999999962e-12,11.580371000000108,5310000000000.379,3.4000000000003495e-13,16.568839999999984,462.2460300000033,4FGL J0129.8+1440,1.626359,19.9792,2.7014964,2.6211982,0.16496366,FSRQ
113,2.119999999999997e-09,2.1699999999998517e-11,60.92977500000033,10999999999999.379,6.469999999999989e-12,259.03497000000124,484.67803999999586,4FGL J0132.7-1654,1.02,18.0902,2.3434708,2.2689767,0.060738638,FSRQ
114,1.3899999999999825e-10,2.2800000000002435e-12,7.441116299999995,3629999999999.888,1.199999999999932e-12,33.86578400000003,831.9129600000082,4FGL J0134.3-3842,2.14,17.4677,2.48977,2.4290226,0.10308852,FSRQ
115,8.870000000000079e-10,9.429999999999386e-12,25.410127999999773,4790000000000397.0,4.489999999999762e-12,10.868563000000059,2472.599400000021,4FGL J0134.5+2637,0.571,17.5799,1.9873419,1.9531784,0.025712604,FSRQ
116,3.640000000000033e-09,4.4499999999996764e-11,72.21264000000075,4520000000000.188,1.4300000000001244e-11,1410.4808000000116,687.7367600000055,4FGL J0137.0+4751,0.859,17.6236,2.3015184,2.1962276,0.098712355,FSRQ
117,9.400000000000013e-10,1.640000000000007e-11,40.10943599999971,3849999999999.9873,6.76999999999932e-12,343.5787400000008,378.7570799999961,4FGL J0137.6-2430,0.835,17.4888,2.536223,2.4062715,0.11585767,FSRQ
118,1.4600000000000092e-10,2.0199999999998868e-12,6.791041999999993,3.3499999999996468e+16,1.2500000000001274e-12,12.640734000000036,4350.338000000015,4FGL J0140.6-0758,0.49,18.9179,1.8552041,1.6656951,0.14558204,BLL
119,2.379999999999992e-09,2.0900000000002233e-11,58.08246200000041,17399999999999.99,3.9599999999998935e-12,256.4931599999987,707.645000000004,4FGL J0141.4-0928,0.73,17.4667,2.1544607,2.0869303,0.047848623,BLL
120,6.020000000000084e-10,1.2100000000001403e-11,29.118677000000083,3490000000000.1553,3.470000000000208e-12,810.1421000000022,326.5620000000009,4FGL J0145.0-2732,1.148,18.2062,2.6034374,2.4801123,0.09678341,FSRQ
