Index,X.name,z,Flux1.100m,Energy_Flux100,Significance,Variability_Index,Frac_Variability,Highest_Energy,nu,nufnu,PL_Index,Pivot_Energy,LP_Index,LP_beta,Gaia_G_Magnitude,Label
1292,4FGL J0953.0-0840,NA,2.50E-09,2.78E-11,56.456203,39.754276,0.1928888,NA,1.78E+15,4.82E-12,1.8916587,1364.0251,1.8026386,0.04647103,16.4259,bll
1293,4FGL J0953.4-7659,NA,2.17E-10,2.54E-12,7.050225,5.8818674,0,101.939,2.50E+15,2.25E-12,1.9798474,4844.614,1.9177634,0.03460572,NA,bcu
1294,4FGL J0954.2+4913,0.380045,1.47E-10,2.48E-12,13.531674,6.5803094,0,57.6818,8.13E+16,1.31E-12,1.5906217,6329.833,1.1609548,0.32505795,NA,bll
1295,4FGL J0954.2-2520,NA,2.43E-10,2.04E-12,9.501227,9.446331,0.119626075,23.4559,NA,NA,2.0000603,3267.897,1.9706066,0.023979396,NA,bcu
1296,4FGL J0955.1+3551,0.834,8.64E-11,1.10E-12,5.1898866,5.9601274,0,178.75,5.07E+14,3.80E-13,1.8932385,4047.2095,1.8794297,0.025108218,19.8028,bll
1297,4FGL J0955.2+0835,NA,1.15E-10,1.10E-12,4.228383,11.031011,0.4883168,NA,1.07E+14,7.42E-13,2.3313775,1504.9445,2.2461045,0.07722064,19.190243,bll
1298,4FGL J0956.0+3936,1.17301,1.51E-10,1.87E-12,7.87909,6.3523426,0,NA,1.20E+13,3.79E-13,2.3936982,1205.3954,2.352644,0.05256118,20.2485,fsrq
1299,4FGL J0956.5-0958,0.161,8.80E-11,1.16E-12,4.9079065,12.33678,0,NA,4.37E+16,1.01E-12,1.7810593,6856.058,1.3355638,0.38114205,NA,bll
1300,4FGL J0956.7+2516,0.708,6.75E-10,1.09E-11,25.457146,91.27332,0.4740678,NA,4.59E+12,3.79E-12,2.5470033,583.9119,2.4878104,0.09527304,18.075,fsrq
1301,4FGL J0957.3-1348,1.323,6.27E-10,8.74E-12,20.11581,115.00165,0.6916934,NA,4.79E+12,1.20E-12,2.4667234,562.0547,2.3099782,0.15527418,18.6016,fsrq
1302,4FGL J0957.6+5523,0.896,1.03E-08,9.30E-11,180.73425,38.20884,0.06118061,145.882,1.51E+13,2.27E-12,2.014449,797.65515,1.9002404,0.07828678,17.3004,fsrq
1303,4FGL J0957.8+3423,1.810252,2.87E-10,2.94E-12,13.145587,35.503876,0.5932873,10.0072,1.40E+13,3.80E-13,2.1642168,1466.3428,2.0552905,0.1618911,20.4691,bcu
1304,4FGL J0958.0+4728,1.882,5.53E-10,5.46E-12,26.661644,243.12782,0.8481609,NA,1.38E+12,8.28E-13,2.5903063,486.27548,2.365307,0.25384784,NA,fsrq
1305,4FGL J0958.0-0319,0.6,7.01E-11,1.20E-12,5.1503015,12.330302,0,16.005,NA,NA,1.6356702,10921.653,0.5182172,0.80290496,NA,bll
1306,4FGL J0958.0+3222,0.5306,1.87E-10,3.90E-12,10.274595,10.7800255,0.17910935,NA,3.85E+12,3.18E-12,2.6364586,584.3661,2.6082382,0.06602776,15.5205,fsrq
1307,4FGL J0958.1-6753,NA,1.68E-10,1.92E-12,5.1176896,12.727878,0.4621824,102.605,1.00E+16,1.17E-11,2.2341013,2905.242,2.2467363,-0.07913278,NA,bcu
1308,4FGL J0958.3-2656,NA,1.28E-10,1.92E-12,4.6677356,7.9271393,0,NA,1.12E+14,5.83E-12,2.11768,2427.8074,1.9983613,0.23786442,17.488678,rdg
1309,4FGL J0958.4+5042,1.154,1.70E-10,3.28E-12,10.504574,28.688385,0.49528208,NA,2.37E+12,3.66E-13,2.6630707,574.374,2.622904,0.05751894,18.8429,fsrq
1310,4FGL J0958.4-2441,NA,4.54E-10,3.32E-12,13.31938,14.089287,0.25681898,14.6175,2.79E+13,2.79E-13,2.1912007,1315.1501,2.004668,0.20022495,19.5529,bcu
1311,4FGL J0958.7+6534,0.367,3.53E-09,3.55E-11,87.44823,2127.6768,0.930263,187.787,1.17E+13,1.15E-11,2.2155821,651.3296,2.1618464,0.03710413,16.2388,BLL
1312,4FGL J0958.8+7039,NA,6.88E-11,1.16E-12,5.272747,9.617747,0,75.8421,5.62E+15,1.12E-12,1.7811542,7818.5674,1.5622927,0.2678517,NA,bcu
1313,4FGL J0959.4+2120,0.365,2.34E-10,2.74E-12,8.473209,14.5187645,0.32749212,NA,6.68E+14,9.53E-13,2.1803043,2050.4783,2.1896024,-0.01347196,18.406,bll
1314,4FGL J0959.6+4606,NA,9.31E-11,2.19E-12,6.529051,8.394354,0.077285424,NA,NA,NA,2.884476,536.8659,2.9155037,-0.039591767,NA,bcu
1315,4FGL J1001.1+2911,0.558,7.24E-10,9.70E-12,26.134289,211.57782,0.946796,92.7994,9.33E+12,3.80E-12,2.268772,960.069,2.2363963,0.060373764,18.7663,bll
1316,4FGL J1002.5+2215,0.55,2.56E-10,2.65E-12,11.142136,2.8530297,0,129.741,3.43E+15,6.97E-13,1.9066331,4062.272,1.8682024,0.026947672,19.0364,bll
1317,4FGL J1002.8+2140,1.452,1.07E-10,1.92E-12,3.6626077,14.778501,0.5169308,NA,1.40E+13,2.42E-13,2.2736506,2229.0503,2.3246984,-0.04433795,NA,bcu
1318,4FGL J1003.4+0205,2.075,1.51E-10,1.64E-12,6.183761,7.2562323,0,39.8673,5.72E+14,3.19E-13,2.027694,2852.862,1.9649792,0.06586265,NA,bcu
1319,4FGL J1003.6-2137,NA,8.57E-11,1.25E-12,5.058442,14.045253,0.4166365,73.8428,NA,NA,1.7691733,8295.192,1.6235863,0.1272595,NA,bcu
1320,4FGL J1003.6+2605,0.9295,2.33E-10,2.78E-12,8.839379,6.5489025,0,NA,1.93E+13,3.09E-13,2.2802763,1422.2672,2.1973019,0.14220092,20.3479,bll
1321,4FGL J1006.5+6440,0.56,1.35E-10,1.40E-12,9.031648,7.3381414,0,14.8605,3.35E+14,4.93E-13,1.8699566,4837.7886,2.08253,-0.1243442,18.8389,bll
1322,4FGL J1006.7-2159,0.33,2.21E-09,1.44E-11,50.44115,1322.413,1.1629894,99.3496,5.50E+13,3.32E-12,2.3508947,507.07816,2.2939613,0.04599111,16.6358,fsrq
1323,4FGL J1007.0+3455,0.612,2.29E-10,2.61E-12,12.200237,9.977837,0.16109519,37.4907,1.74E+14,6.20E-13,1.8178864,3709.1895,1.6858858,0.1328481,18.0885,bll
1324,4FGL J1007.6-3332,1.837,1.17E-09,1.24E-11,31.126095,311.4648,0.78941506,17.6336,3.02E+12,5.20E-13,2.4404888,619.0989,2.2797532,0.20302288,19.0909,fsrq
